secteur,taille,localisation,anciennete_annees,nb_employes,chiffre_affaires,nb_transactions_mois,montant_moyen_transaction,pct_cash,pct_mobile_money,pct_banque,diversification_paiement,pct_transactions_usd,charges_exploitation,resultat_net,marge_nette,solde_caisse_moyen,entrees_tresorerie_mois,sorties_tresorerie_mois,flux_tresorerie_net,remboursements_dettes_mois,variabilite_ca,ratio_liquidite,ratio_endettement,couverture_dette,nb_retards_paiement_12m,jours_retard_moyen,nb_factures_impayees,taux_recouvrement_creances,delai_paiement_fournisseurs,delai_recouvrement_jours,creances_sur_ca,regularite_paiement_mobile,regularite_paiement_fournisseurs,pct_activite_informelle,ecart_taux_change,appartenance_association,score_reseau_communautaire,pct_clients_recurrents,score_reputation_terrain,part_credit_informel,exposition_zones_instables,diversification_activites,stock_securite_jours,score_debrouillardise,usage_whatsapp_business,social_media_abonnes,social_media_sentiment,social_media_freq_publication,conso_energie_kwh,tendance_energie,conso_eau_m3,trafic_web_mensuel,nb_avis_en_ligne,note_avis_moyenne,regularite_paiement_energie,regularite_paiement_eau,regularite_paiement_loyer,default
Mines,Petite,Mbuji-Mayi,8.0,6,3433369.0,82,3489.0,0.7102,0.2836,0.0062,0.4151,0.6209,2889113.0,544256.0,0.1585,211019.0,284211.0,281784.0,2427.0,119688.0,0.1018,0.69,0.74,2.21,0,2.0,1,0.7315,37.0,93.0,0.3277,0.6369,0.2334,0.7369,0.0772,0,0.4662,0.8941,0.6151,0.7326,0.3782,0.2263,8.0,0.8096,0,15.0,-0.2208,11,461.0,-0.0926,22.0,750.0,4,4.0,0.9764,0.5824,0.6366,0
Agriculture,Micro,Kinshasa,3.1,4,22558681.0,82,22925.0,0.8151,0.0967,0.0883,0.3185,0.3,15325647.0,7233034.0,0.3206,2333619.0,1647240.0,1537099.0,110141.0,645917.0,0.2658,0.97,1.96,1.95,2,2.0,0,0.7921,33.0,42.0,0.3401,0.7507,0.7476,0.5365,0.0291,0,0.1649,0.691,0.9104,0.4335,0.5526,0.5647,23.0,0.3398,0,26.0,-0.3762,6,330.0,-0.1515,18.0,300.0,7,4.0,0.8792,0.4603,0.5851,0
Commerce,Micro,Goma,0.8,7,40564065.0,80,42254.0,0.8381,0.1054,0.0565,0.2833,0.1694,22830220.0,17733845.0,0.4372,2618359.0,2720830.0,2753603.0,-32773.0,278993.0,0.2818,1.22,1.33,1.37,3,16.0,3,0.8125,47.0,121.0,1.1937,0.8905,0.4893,0.4976,0.0274,0,0.5169,0.4987,0.4899,0.4232,0.2496,0.1239,31.0,0.4623,0,41.0,0.6614,7,134.0,0.0335,36.0,777.0,13,4.6,0.6437,0.2086,0.7499,0
Services,Petite,Kinshasa,6.4,12,4649172.0,79,4904.0,0.7632,0.2345,0.0023,0.3625,0.3519,2816267.0,1832905.0,0.3942,639991.0,414917.0,392467.0,22450.0,80708.0,0.3363,0.64,1.75,-0.01,1,2.0,7,0.5995,46.0,75.0,0.8584,0.8007,0.1879,0.7749,0.0341,0,0.5984,0.7816,0.9592,0.6482,0.6349,0.6256,74.0,0.6517,0,514.0,-0.1535,7,157.0,0.0747,14.0,5377.0,7,2.5,0.6747,0.6447,0.8555,0
Construction,Micro,Matadi,1.0,1,7306597.0,85,7163.0,0.697,0.2872,0.0158,0.4315,0.2807,4471236.0,2835361.0,0.3881,454203.0,659049.0,569918.0,89131.0,149419.0,0.4585,0.87,0.76,0.33,4,1.0,2,0.6393,37.0,64.0,0.6165,0.5887,0.9238,0.8848,0.0204,1,0.4145,0.9291,0.7744,0.3727,0.2932,0.4087,15.0,0.8299,0,680.0,0.351,10,536.0,-0.064,7.0,587.0,14,3.1,0.7035,0.485,0.3529,0
Manufacture,Micro,Lubumbashi,6.7,17,5588208.0,101,4611.0,0.7937,0.1908,0.0156,0.3334,0.5659,4883442.0,704766.0,0.1261,684348.0,516696.0,392668.0,124028.0,104589.0,0.2424,2.13,1.75,2.45,0,6.0,3,0.9195,33.0,50.0,0.9989,0.5782,0.8364,0.7133,0.0395,0,0.4415,0.7966,0.6207,0.4309,0.216,0.1571,14.0,0.6825,0,1508.0,0.4219,7,367.0,0.1339,12.0,11.0,9,3.0,0.7254,0.4581,0.7588,0
TIC,Petite,Matadi,3.3,2,37026617.0,84,36733.0,0.8647,0.1296,0.0057,0.2355,0.289,33487633.0,3538984.0,0.0956,4751464.0,3617318.0,2728996.0,888322.0,53930.0,0.0862,1.43,2.4,0.6,3,36.0,3,0.7315,36.0,90.0,1.5233,0.488,0.489,0.5469,0.0485,0,0.3249,0.8305,0.9182,0.5937,0.0921,0.3812,3.0,0.5544,1,257.0,0.6199,10,2114.0,0.0196,31.0,238.0,8,4.5,0.5044,0.8259,0.7812,0
Commerce,Petite,Matadi,3.0,5,13481955.0,77,14591.0,0.815,0.1679,0.0171,0.3073,0.377,9423466.0,4058489.0,0.301,899541.0,971851.0,802277.0,169574.0,69368.0,0.3252,1.13,1.74,0.98,4,19.0,5,0.7419,40.0,57.0,0.2038,0.9029,0.6407,0.9703,0.0222,1,0.7491,0.7346,0.89,0.2005,0.2856,0.3751,5.0,0.7751,0,5371.0,0.3385,4,1590.0,0.1187,76.0,1803.0,12,4.5,0.42,0.546,0.5313,0
Manufacture,Micro,Kinshasa,9.5,19,9968941.0,108,7692.0,0.7173,0.2438,0.0389,0.4245,0.2607,7903751.0,2065190.0,0.2072,474837.0,960502.0,906709.0,53793.0,489855.0,0.0427,1.15,0.57,2.16,0,6.0,3,0.8365,54.0,63.0,0.6143,0.8013,0.4905,0.6375,0.0633,1,0.2891,0.4954,0.8274,0.2165,0.1968,0.3712,56.0,0.461,1,299.0,0.4554,7,178.0,-0.2189,12.0,414.0,7,4.7,0.8833,0.6971,0.4182,0
Services,Petite,Lubumbashi,6.2,9,3147113.0,90,2914.0,0.8111,0.1837,0.0052,0.3083,0.4233,2084142.0,1062971.0,0.3378,93101.0,234551.0,226163.0,8388.0,77916.0,0.1016,0.99,3.3,1.53,2,6.0,3,0.4308,55.0,68.0,0.4157,0.8995,0.6312,0.9821,0.0231,1,0.2992,0.571,0.666,0.1758,0.1502,0.1905,30.0,0.4113,0,551.0,0.5333,11,575.0,0.1594,5.0,92.0,9,2.8,0.6274,0.5929,0.3104,0
Construction,Petite,Kinshasa,0.5,9,13512516.0,72,15639.0,0.5314,0.4361,0.0325,0.5264,0.3839,9659590.0,3852926.0,0.2851,1869936.0,1145037.0,977010.0,168027.0,228223.0,0.348,1.67,0.9,1.31,3,3.0,2,0.3617,37.0,90.0,0.7234,0.6063,0.4233,0.7186,0.1426,0,0.6164,0.8917,0.7569,0.2907,0.3573,0.2348,8.0,0.603,0,166.0,-0.4928,5,97.0,-0.0311,15.0,99.0,6,3.2,0.6237,0.3534,0.7442,1
Commerce,Petite,Matadi,1.8,2,7414099.0,70,8826.0,0.7092,0.2875,0.0033,0.4144,0.5666,5780412.0,1633687.0,0.2203,778608.0,558369.0,560453.0,-2084.0,196714.0,0.4495,0.53,1.11,2.18,4,9.0,4,0.7404,56.0,57.0,0.8819,0.9261,0.8153,0.7156,0.0252,0,0.3435,0.6298,0.8251,0.5616,0.0465,0.6021,1.0,0.8521,0,562.0,0.5307,7,155.0,0.0004,10.0,5126.0,7,3.5,0.4938,0.6274,0.2481,0
Construction,Micro,Goma,10.2,3,19618969.0,79,20695.0,0.7822,0.1858,0.0319,0.3526,0.6453,17005486.0,2613483.0,0.1332,2483393.0,1398760.0,1444927.0,-46167.0,155178.0,0.1207,1.11,1.58,1.6,0,17.0,2,0.6579,53.0,15.0,0.5453,0.863,0.593,0.7959,0.0028,0,0.5807,0.8901,0.9312,0.3996,0.3058,0.4946,61.0,0.6521,0,82.0,-0.117,4,143.0,-0.0304,27.0,7243.0,10,4.1,0.7574,0.8214,0.6815,0
Manufacture,Micro,Kinshasa,0.5,15,3717044.0,60,5163.0,0.7524,0.2461,0.0015,0.3733,0.7476,2631325.0,1085719.0,0.2921,373173.0,254174.0,213369.0,40805.0,13768.0,0.1442,0.67,1.66,1.91,3,41.0,4,0.9182,42.0,69.0,0.6069,0.4397,0.7974,0.3577,0.0154,1,0.5047,0.7623,0.8304,0.2081,0.2389,0.0346,12.0,0.4599,0,199.0,-0.1314,11,272.0,0.0188,7.0,68.0,20,2.6,0.4911,0.8164,0.6148,0
Agriculture,Micro,Kinshasa,3.9,4,18137415.0,85,17782.0,0.8942,0.1041,0.0018,0.1896,0.7799,14666445.0,3470970.0,0.1914,739206.0,1416905.0,1212246.0,204659.0,130136.0,0.0788,0.59,3.77,0.63,3,2.0,2,0.6237,53.0,22.0,1.3368,0.946,0.3986,0.5789,0.0043,0,0.3843,0.5978,0.4216,0.4726,0.0635,0.5378,32.0,0.5377,0,4624.0,0.0185,11,445.0,0.1497,24.0,151.0,6,2.2,0.4745,0.504,0.7436,0
Commerce,Micro,Lubumbashi,6.5,4,8651637.0,88,8193.0,0.852,0.1438,0.0042,0.2534,0.4234,5554655.0,3096982.0,0.358,514468.0,856895.0,746879.0,110016.0,2225.0,0.2599,0.98,0.31,2.4,1,2.0,3,0.8427,59.0,15.0,0.4147,0.6142,0.2724,0.7565,0.1098,0,0.5707,0.6098,0.8629,0.3928,0.4508,0.6647,5.0,0.7756,1,579.0,0.0898,4,285.0,0.0479,31.0,8510.0,6,3.8,0.8598,0.5157,0.2689,0
Construction,Micro,Matadi,4.9,15,3271777.0,74,3684.0,0.8207,0.1777,0.0016,0.2949,0.5669,2197253.0,1074524.0,0.3284,208988.0,269655.0,224721.0,44934.0,76855.0,0.1878,0.64,1.97,1.25,1,3.0,2,0.6362,59.0,87.0,0.832,0.9527,0.2961,0.5743,0.0312,0,0.5019,0.7531,0.7991,0.7243,0.434,0.4364,68.0,0.5986,1,80.0,0.3035,12,189.0,0.1059,42.0,50.0,9,3.2,0.4374,0.6087,0.8096,0
Commerce,Micro,Bukavu,7.1,3,2979479.0,80,3104.0,0.8303,0.1211,0.0486,0.2936,0.6666,1880676.0,1098803.0,0.3688,226341.0,202364.0,191029.0,11335.0,25460.0,0.3328,2.25,2.31,1.79,0,13.0,5,0.6031,44.0,33.0,1.2062,0.7468,0.9203,0.6655,0.0854,1,0.6875,0.8672,0.9063,0.1626,0.1213,0.6913,5.0,0.6817,0,3898.0,0.2742,14,84.0,0.0147,47.0,1683.0,8,4.7,0.4327,0.7887,0.4956,0
Agriculture,Micro,Kisangani,6.5,9,3568213.0,76,3913.0,0.7376,0.2478,0.0145,0.3943,0.4355,3104584.0,463629.0,0.1299,95628.0,318125.0,325346.0,-7221.0,69678.0,0.2755,1.07,1.48,0.89,4,16.0,3,0.6741,79.0,63.0,1.5246,0.6561,0.7717,0.8407,0.0468,0,0.7353,0.6999,0.9614,0.3703,0.3839,0.4229,5.0,0.602,0,4553.0,0.4115,8,312.0,-0.1162,26.0,15753.0,10,3.6,0.7087,0.5877,0.4746,0
Commerce,Moyenne,Lubumbashi,5.9,7,11436507.0,86,11082.0,0.7557,0.2331,0.0112,0.3745,0.662,6791471.0,4645036.0,0.4062,1225029.0,839364.0,737168.0,102196.0,105944.0,0.4976,0.55,1.11,1.84,1,0.0,1,0.7614,45.0,91.0,0.4984,0.7512,0.4134,0.7332,0.0188,1,0.589,0.725,0.5707,0.6562,0.0735,0.5066,14.0,0.5993,1,11.0,0.9799,11,1152.0,-0.0507,35.0,283.0,14,4.6,0.5463,0.6358,0.4494,0
Construction,Micro,Kinshasa,8.6,7,16940106.0,73,19338.0,0.8066,0.1876,0.0058,0.3142,0.5358,14143150.0,2796956.0,0.1651,934699.0,1162325.0,934529.0,227796.0,90372.0,0.2528,0.7,0.56,1.65,1,60.0,7,0.8719,39.0,66.0,0.37,0.7724,0.4695,0.46,0.0588,0,0.504,0.8669,0.6717,0.717,0.407,0.3486,27.0,0.582,0,4294.0,-0.4744,11,119.0,0.0524,38.0,1104.0,10,4.2,0.9161,0.3215,0.7971,0
Services,Petite,Kolwezi,5.2,4,20252491.0,69,24460.0,0.8169,0.1155,0.0677,0.3148,0.6784,15873737.0,4378754.0,0.2162,1669034.0,1885222.0,1524342.0,360880.0,91431.0,0.2375,1.67,1.63,1.41,4,24.0,5,0.7526,72.0,30.0,1.0472,0.5897,0.6634,0.882,0.1126,0,0.6822,0.4424,0.5918,0.3701,0.22,0.5242,11.0,0.5218,0,223.0,-0.4231,10,132.0,-0.1166,51.0,55.0,9,3.7,0.473,0.363,0.5424,0
Services,Petite,Kinshasa,2.6,4,21190499.0,88,20067.0,0.6762,0.2551,0.0687,0.473,0.6241,16751090.0,4439409.0,0.2095,588181.0,1727891.0,1670090.0,57801.0,307874.0,0.2375,1.38,5.87,2.25,2,4.0,5,0.8635,58.0,36.0,0.5846,0.6512,0.2699,0.7921,0.1145,0,0.2154,0.3289,0.6487,0.1331,0.21,0.3988,7.0,0.5363,1,488.0,0.3876,7,410.0,0.0479,15.0,6151.0,14,2.9,0.8562,0.7025,0.3587,0
Commerce,Micro,Matadi,3.2,3,5895926.0,87,5647.0,0.702,0.2255,0.0725,0.4511,0.6787,5155797.0,740129.0,0.1255,652203.0,585110.0,567709.0,17401.0,228103.0,0.3048,1.4,3.75,1.97,4,15.0,5,0.9769,34.0,97.0,0.8143,0.9418,0.3967,0.7161,0.0007,1,0.5611,0.6891,0.4731,0.8393,0.3945,0.5862,2.0,0.7513,1,6.0,-0.2703,4,493.0,-0.0834,53.0,18420.0,13,3.5,0.9286,0.0691,0.646,1
Manufacture,Moyenne,Lubumbashi,6.3,10,52173408.0,95,45766.0,0.7918,0.1819,0.0262,0.3393,0.5319,38942184.0,13231224.0,0.2536,4759240.0,4721276.0,4215081.0,506195.0,1986364.0,0.2761,2.04,1.45,2.64,1,14.0,2,0.8283,30.0,69.0,0.3333,0.4861,0.7329,0.6893,0.0219,0,0.7565,0.7775,0.4315,0.3769,0.1078,0.3189,6.0,0.5717,0,12.0,0.2004,8,98.0,0.0329,51.0,792.0,8,1.7,0.7137,0.5889,0.3528,0
Manufacture,Petite,Kinshasa,10.4,4,8617705.0,92,7806.0,0.8339,0.1659,0.0003,0.2771,0.5549,4981550.0,3636155.0,0.4219,1186361.0,657411.0,643086.0,14325.0,14366.0,0.6551,1.23,0.7,1.1,2,16.0,0,0.4239,49.0,46.0,1.4649,0.4118,0.58,0.5664,0.0019,0,0.5461,0.8879,0.7908,0.1905,0.0528,0.4162,4.0,0.6384,1,215.0,0.4268,5,684.0,-0.0583,29.0,3.0,14,2.6,0.4304,0.9602,0.3919,0
Construction,Micro,Bukavu,1.6,16,25145254.0,67,31275.0,0.8547,0.1236,0.0216,0.2537,0.6664,22492853.0,2652401.0,0.1055,1147686.0,2498922.0,2257116.0,241806.0,231177.0,0.4307,1.56,2.52,2.3,3,37.0,1,0.7689,57.0,42.0,3.0,0.8154,0.9815,0.6976,0.0616,1,0.3797,0.6012,0.5762,0.6574,0.4205,0.6036,14.0,0.6402,0,1720.0,-0.2001,10,437.0,-0.1036,46.0,126.0,8,3.8,0.674,0.4723,0.7905,0
Transport,Petite,Kolwezi,2.1,6,12031196.0,71,14121.0,0.7603,0.1349,0.1048,0.3928,0.6822,8118994.0,3912202.0,0.3252,1738528.0,1151310.0,968809.0,182501.0,39860.0,0.1725,1.83,1.86,2.2,2,1.0,3,0.6139,51.0,44.0,1.0844,0.5438,0.8001,0.7128,0.0073,0,0.4769,0.3231,0.8471,0.7815,0.2237,0.6417,22.0,0.5364,0,500.0,-0.0416,5,9384.0,0.1124,66.0,67.0,9,1.5,0.535,0.6819,0.8257,0
Commerce,Micro,Kolwezi,13.3,3,22994037.0,100,19162.0,0.7735,0.2011,0.0254,0.3606,0.3996,12900028.0,10094009.0,0.439,3167653.0,1775182.0,1405692.0,369490.0,26756.0,0.0873,1.8,0.33,0.51,2,20.0,5,0.6578,50.0,101.0,1.0081,0.5163,0.3325,0.9565,0.0296,1,0.7419,0.8119,0.771,0.3302,0.1402,0.2196,12.0,0.4085,1,26.0,0.4798,11,77.0,-0.0456,14.0,4306.0,8,3.6,0.6262,0.1851,0.6796,0
Services,Petite,Kinshasa,4.3,6,11328206.0,83,11374.0,0.8571,0.1026,0.0404,0.2532,0.3374,8465229.0,2862977.0,0.2527,662072.0,864921.0,782623.0,82298.0,82746.0,0.2166,1.46,0.49,0.84,2,69.0,3,0.9616,53.0,61.0,0.6645,0.6723,0.7815,0.4997,0.0094,1,0.6638,0.6341,0.7212,0.7693,0.6338,0.7041,7.0,0.303,1,38.0,-0.1042,10,213.0,-0.0289,10.0,400.0,8,2.5,0.1907,0.2445,0.6808,0
Commerce,Micro,Kinshasa,1.0,5,23496496.0,83,23591.0,0.8974,0.0989,0.0037,0.1849,0.1583,16039236.0,7457260.0,0.3174,3212941.0,1959943.0,1961509.0,-1566.0,130345.0,0.1689,0.72,7.02,1.32,2,34.0,2,0.7409,47.0,56.0,0.7734,0.4532,0.4042,0.5737,0.0064,1,0.5395,0.5128,0.9667,0.8063,0.3862,0.612,5.0,0.79,0,134.0,-0.2859,10,244.0,-0.0892,17.0,67.0,10,3.6,0.6273,0.4163,0.8185,0
Manufacture,Petite,Goma,5.4,16,14521391.0,81,14940.0,0.6647,0.3238,0.0116,0.4532,0.7801,12885606.0,1635785.0,0.1126,841604.0,1230335.0,1264427.0,-34092.0,43606.0,0.2474,0.66,0.6,2.26,2,8.0,4,0.6062,62.0,90.0,0.7102,0.8659,0.7022,0.844,0.3,0,0.7236,0.7286,0.7536,0.6696,0.2136,0.6495,7.0,0.6688,1,9277.0,0.1268,8,200.0,-0.0083,19.0,130.0,12,3.8,0.7338,0.934,0.8863,0
Commerce,Micro,Bukavu,23.4,5,38904041.0,74,43811.0,0.7958,0.1798,0.0244,0.3338,0.5173,28748514.0,10155527.0,0.261,2477453.0,3343990.0,2568853.0,775137.0,365952.0,0.1325,0.83,1.21,1.99,5,15.0,5,0.8561,68.0,64.0,1.2865,0.6194,0.5228,0.2992,0.0284,1,0.6561,0.5179,0.7598,0.4834,0.2749,0.2658,51.0,0.7764,0,6.0,0.3421,8,1426.0,-0.0755,79.0,4151.0,4,3.1,0.8566,0.5515,0.5857,0
Agriculture,Petite,Mbuji-Mayi,8.7,5,5485276.0,93,4915.0,0.8289,0.1196,0.0515,0.296,0.6361,3125236.0,2360040.0,0.4303,757910.0,405459.0,415807.0,-10348.0,14046.0,0.2737,0.85,2.39,2.26,0,5.0,6,0.925,38.0,77.0,0.806,0.979,0.6139,0.7139,0.0102,1,0.883,0.8362,0.6801,0.5994,0.2175,0.247,1.0,0.7137,0,17.0,0.2521,8,3916.0,0.0957,43.0,521.0,8,4.9,0.9339,0.7039,0.5074,0
Agriculture,Micro,Kinshasa,6.8,22,1751758.0,67,2179.0,0.6575,0.3043,0.0382,0.4736,0.6576,1117769.0,633989.0,0.3619,214396.0,119976.0,96388.0,23588.0,15426.0,0.1489,1.05,1.29,1.15,3,18.0,2,0.8016,24.0,58.0,0.759,0.789,0.5061,0.8166,0.1182,0,0.4537,0.747,0.4487,0.5322,0.2141,0.3011,4.0,0.2273,0,136.0,0.0887,7,157.0,0.0428,8.0,919.0,11,3.8,0.8198,0.702,0.6795,0
Manufacture,Petite,Kolwezi,1.2,11,4556071.0,82,4630.0,0.7219,0.2636,0.0145,0.4092,0.7828,2882055.0,1674016.0,0.3674,352425.0,385978.0,359489.0,26489.0,135870.0,0.1699,0.86,0.93,1.16,3,11.0,7,0.6136,38.0,57.0,0.9942,0.5505,0.847,0.7951,0.0055,1,0.3943,0.4174,0.6682,0.4316,0.3589,0.7471,3.0,0.6343,1,399.0,0.3444,5,1122.0,0.0646,77.0,924.0,10,4.1,0.6016,0.7099,0.4187,0
Agriculture,Petite,Bukavu,10.4,27,52835935.0,83,53048.0,0.7104,0.2772,0.0124,0.4183,0.2177,43996739.0,8839196.0,0.1673,1837588.0,4590360.0,4044389.0,545971.0,1062128.0,0.1762,0.53,2.75,1.95,1,29.0,5,0.687,43.0,56.0,0.5057,0.5823,0.7249,0.8699,0.095,1,0.7862,0.768,0.9077,0.0339,0.6648,0.4718,5.0,0.4494,1,34.0,0.3821,8,272.0,-0.0872,45.0,862.0,6,4.1,0.715,0.9381,0.3907,0
Services,Micro,Kisangani,3.7,20,12170547.0,64,15847.0,0.8529,0.0975,0.0496,0.2606,0.5277,6990398.0,5180149.0,0.4256,976363.0,1199991.0,1152320.0,47671.0,311363.0,0.2202,1.11,1.97,1.26,2,21.0,1,0.8187,22.0,29.0,0.3535,0.6836,0.1839,0.551,0.2284,1,0.8009,0.821,0.4985,0.2867,0.2504,0.3724,18.0,0.585,1,1085.0,0.1254,9,901.0,-0.0103,65.0,4007.0,8,3.5,0.2804,0.2723,0.4799,0
Agriculture,Petite,Goma,11.0,3,16362043.0,81,16833.0,0.8308,0.1652,0.004,0.2825,0.4276,10969611.0,5392432.0,0.3296,2122991.0,1387324.0,1261016.0,126308.0,201806.0,0.6568,0.73,1.86,1.2,0,0.0,3,0.6553,10.0,106.0,0.2889,0.5691,0.7858,0.7931,0.002,1,0.4238,0.5659,0.9229,0.1301,0.4101,0.2124,1.0,0.4884,0,754.0,0.0508,13,293.0,0.0981,10.0,12.0,11,4.0,0.8736,0.7411,0.406,0
Commerce,Micro,Lubumbashi,2.0,16,4137640.0,75,4597.0,0.7284,0.265,0.0066,0.3992,0.2172,3302580.0,835060.0,0.2018,401147.0,297401.0,257823.0,39578.0,116337.0,0.4842,0.85,0.67,1.01,1,54.0,3,0.9034,28.0,34.0,0.6437,0.6655,0.6604,0.6014,0.0066,0,0.6872,0.6028,0.4582,0.3264,0.2849,0.7158,16.0,0.3705,0,4.0,0.2253,9,110.0,-0.063,5.0,46.0,6,2.5,0.5092,0.7058,0.8875,1
Services,Moyenne,Kolwezi,0.5,25,15849753.0,78,16933.0,0.9008,0.0855,0.0137,0.1811,0.3848,12314457.0,3535296.0,0.2231,416898.0,1218990.0,940287.0,278703.0,388132.0,0.3498,1.62,1.35,2.03,4,7.0,2,0.7473,68.0,27.0,1.3377,0.9469,0.211,0.5804,0.0376,0,0.8436,0.7799,0.7963,0.5927,0.6355,0.7416,3.0,0.6423,1,212.0,0.101,6,179.0,-0.0895,48.0,2189.0,8,4.9,0.7634,0.6617,0.4994,0
Commerce,Micro,Goma,3.2,25,4293552.0,88,4066.0,0.7236,0.1462,0.1302,0.4381,0.2444,3390265.0,903287.0,0.2104,313859.0,293674.0,222587.0,71087.0,82930.0,0.3321,1.19,3.15,1.99,1,3.0,1,0.7644,30.0,62.0,0.5759,0.6724,0.6611,0.7747,0.0284,0,0.6122,0.4049,0.7398,0.125,0.0656,0.5032,9.0,0.8267,0,2042.0,0.6542,7,319.0,-0.0213,8.0,89.0,13,2.5,0.3123,0.7967,0.6839,0
Agriculture,Petite,Kisangani,1.6,16,5122035.0,92,4640.0,0.798,0.2001,0.0019,0.3232,0.5301,3877200.0,1244835.0,0.243,568473.0,344097.0,282586.0,61511.0,39612.0,0.114,0.74,1.39,2.95,2,34.0,1,0.6559,53.0,29.0,0.49,0.8817,0.8771,0.7145,0.2053,1,0.4071,0.7827,0.4954,0.2213,0.1074,0.4235,8.0,0.2926,0,531.0,0.0578,8,1978.0,-0.0477,7.0,400.0,11,3.3,0.4244,0.595,0.6069,0
Services,Petite,Kolwezi,6.3,16,9038643.0,76,9911.0,0.6834,0.2514,0.0652,0.4655,0.4257,5558899.0,3479744.0,0.385,1216382.0,746579.0,726965.0,19614.0,136201.0,0.4845,1.31,1.27,0.96,1,15.0,1,0.7495,46.0,78.0,0.6424,0.7013,0.6091,0.8462,0.0257,0,0.7914,0.6165,0.9372,0.736,0.3279,0.5465,13.0,0.7734,0,492.0,-0.3009,5,870.0,0.0416,8.0,6615.0,12,4.3,0.6543,0.4444,0.309,0
Agriculture,Micro,Bukavu,15.7,5,24993259.0,82,25400.0,0.8433,0.1485,0.0081,0.2667,0.255,19982177.0,5011082.0,0.2005,3674131.0,2217728.0,2074423.0,143305.0,360600.0,0.457,1.01,1.11,1.77,0,18.0,3,0.6129,38.0,15.0,0.8491,0.4644,0.5374,0.7904,0.0497,1,0.7739,0.2605,0.8003,0.4694,0.3086,0.2841,17.0,0.7569,0,10.0,0.1411,8,294.0,-0.0716,20.0,247.0,10,3.7,0.6997,0.5445,0.3312,0
Commerce,Micro,Goma,5.9,3,28409015.0,84,28184.0,0.7792,0.2087,0.0121,0.3491,0.3536,25620682.0,2788333.0,0.0981,3658410.0,2794881.0,2446567.0,348314.0,1581213.0,0.4829,0.78,2.33,2.02,3,2.0,3,0.5898,34.0,92.0,1.4128,0.8449,0.8789,0.7966,0.1273,0,0.5974,0.5101,0.5713,0.3554,0.2215,0.4079,6.0,0.349,0,68.0,0.6639,5,470.0,-0.0484,14.0,850.0,11,3.3,0.7349,0.3633,0.5764,0
Agriculture,Micro,Kinshasa,10.9,5,29351490.0,69,35449.0,0.7915,0.1332,0.0753,0.3501,0.3334,16589628.0,12761862.0,0.4348,3912934.0,2576612.0,2346304.0,230308.0,474949.0,0.0418,0.49,1.16,0.99,2,22.0,0,0.9778,38.0,62.0,0.5581,0.4024,0.6558,0.6396,0.0135,1,0.9231,0.7532,0.7676,0.7822,0.1617,0.4484,30.0,0.3613,1,485.0,-0.1747,8,837.0,-0.1566,14.0,6387.0,9,1.5,0.7291,0.2845,0.5827,0
TIC,Petite,Kinshasa,3.0,1,2178831.0,90,2017.0,0.8388,0.1605,0.0006,0.2707,0.5009,1490056.0,688775.0,0.3161,104486.0,158406.0,146882.0,11524.0,70631.0,0.1491,1.21,1.44,1.74,2,21.0,3,0.8758,47.0,68.0,0.812,0.7069,0.5093,0.7279,0.0372,1,0.2635,0.8244,0.8986,0.3286,0.4577,0.2885,26.0,0.3284,0,36.0,0.4522,10,175.0,-0.1357,5.0,139.0,10,3.4,0.9648,0.8975,0.4768,0
Manufacture,Micro,Kinshasa,7.4,21,14534019.0,79,15331.0,0.8026,0.1936,0.0038,0.3183,0.5118,9561737.0,4972282.0,0.3421,1915485.0,1408460.0,1086124.0,322336.0,214560.0,0.2844,1.03,0.5,0.98,1,58.0,4,0.2717,46.0,61.0,1.1279,0.3761,0.3251,0.6518,0.1702,0,0.6024,0.4499,0.7635,0.6059,0.5226,0.2887,23.0,0.6618,0,640.0,0.6456,1,263.0,0.0477,16.0,971.0,7,4.1,0.6905,0.5578,0.7148,0
Services,Petite,Kinshasa,9.3,5,11569256.0,61,15805.0,0.8113,0.1568,0.0319,0.3162,0.4462,6997140.0,4572116.0,0.3952,1624639.0,1110624.0,940503.0,170121.0,250524.0,0.1226,0.38,1.64,2.43,1,17.0,3,0.4152,59.0,73.0,0.5866,0.8937,0.3017,0.7447,0.0254,0,0.8027,0.8779,0.6241,0.2449,0.3851,0.2524,43.0,0.7412,0,31.0,0.134,11,458.0,-0.1596,19.0,3712.0,11,2.7,0.8176,0.3192,0.5516,0
Manufacture,Petite,Kinshasa,6.2,20,2330005.0,89,2182.0,0.8733,0.096,0.0307,0.2272,0.2989,1509455.0,820550.0,0.3522,238699.0,186992.0,189573.0,-2581.0,4227.0,0.5953,1.38,0.58,1.35,3,2.0,3,0.5303,53.0,59.0,0.9506,0.6278,0.544,0.8996,0.0134,0,0.2581,0.5645,0.6628,0.7106,0.2461,0.0428,0.0,0.4753,1,636.0,0.6159,9,472.0,-0.0973,9.0,2535.0,10,3.5,0.7806,0.0743,0.5476,0
